"id","carat","cut","color","clarity","depth","table","price","x","y","z"
"5",0.31,"Good","J","SI2",63.3,58,335,4.34,4.35,2.75
"17",0.3,"Ideal","I","SI2",62,54,348,4.31,4.34,2.68
"20",0.3,"Very Good","J","SI1",62.7,59,351,4.21,4.27,2.66
"25",0.31,"Very Good","J","SI1",58.1,62,353,4.44,4.47,2.59
"31",0.23,"Very Good","F","VS1",60,57,402,4,4.03,2.41
"38",0.31,"Good","H","SI1",64,54,402,4.29,4.31,2.75
"43",0.26,"Good","D","VS2",65.2,56,403,3.99,4.02,2.61
"44",0.26,"Good","D","VS1",58.4,63,403,4.19,4.24,2.46
"45",0.32,"Good","H","SI2",63.1,56,403,4.34,4.37,2.75
"46",0.29,"Premium","F","SI1",62.4,58,403,4.24,4.26,2.65
"48",0.32,"Good","H","SI2",63.8,56,403,4.36,4.38,2.79
"58",0.3,"Very Good","I","SI1",62.6,57,405,4.25,4.28,2.67
"67",0.32,"Ideal","I","VVS1",62,55.3,553,4.39,4.42,2.73
"68",0.31,"Very Good","G","SI1",63.3,57,553,4.33,4.3,2.73
"72",0.3,"Very Good","H","SI1",63.1,56,554,4.29,4.27,2.7
"78",0.26,"Very Good","D","VVS2",62.4,54,554,4.08,4.13,2.56
"82",0.26,"Very Good","D","VVS1",62.1,60,554,4.03,4.12,2.53
"83",0.26,"Ideal","E","VVS2",62.9,58,554,4.02,4.06,2.54
"94",0.71,"Very Good","E","VS2",62.4,57,2759,5.68,5.73,3.56
"99",0.73,"Very Good","E","SI1",61.6,59,2760,5.77,5.78,3.56
"110",0.59,"Ideal","E","VVS2",62,55,2761,5.38,5.43,3.35
"111",0.8,"Ideal","F","SI2",61.4,57,2761,5.96,6,3.67
"113",0.9,"Premium","I","VS2",63,58,2761,6.16,6.12,3.87
"117",0.8,"Premium","F","SI2",61.7,58,2762,5.98,5.94,3.68
"119",0.7,"Ideal","E","VS2",60.7,58,2762,5.73,5.76,3.49
"120",0.8,"Ideal","F","SI2",59.9,59,2762,6.01,6.07,3.62
"121",0.71,"Ideal","D","SI2",62.3,56,2762,5.73,5.69,3.56
"127",0.91,"Premium","H","SI1",61.4,56,2763,6.09,5.97,3.7
"129",0.91,"Fair","H","SI2",64.4,57,2763,6.11,6.09,3.93
"134",0.7,"Very Good","E","VS2",62.6,60,2765,5.62,5.65,3.53
"149",0.7,"Very Good","D","SI1",61.1,58,2768,5.66,5.73,3.48
"152",0.74,"Ideal","I","SI1",61.3,56,2769,5.82,5.86,3.57
"165",0.79,"Ideal","F","SI2",61.9,55,2771,5.97,5.92,3.68
"167",0.8,"Very Good","F","SI2",61,57,2772,6.01,6.03,3.67
"175",0.7,"Ideal","E","SI1",62.7,55,2774,5.68,5.74,3.58
"176",0.83,"Good","I","VS2",64.6,54,2774,5.85,5.88,3.79
"182",0.54,"Ideal","E","VVS2",61.5,57,2776,5.24,5.26,3.23
"184",0.72,"Ideal","G","SI1",60.7,56,2776,5.79,5.82,3.53
"187",0.7,"Very Good","D","VS1",62.7,58,2777,5.66,5.73,3.57
"199",0.7,"Ideal","E","SI1",61.4,57,2777,5.76,5.7,3.52
"200",0.72,"Premium","F","SI1",61.8,61,2777,5.82,5.71,3.56
"210",0.74,"Ideal","E","SI1",61.7,56,2779,5.84,5.8,3.59
"211",0.7,"Very Good","F","VS2",63.6,57,2780,5.61,5.65,3.58
"213",0.71,"Ideal","F","VS2",62.1,54,2780,5.68,5.72,3.54
"215",0.7,"Ideal","G","VS1",61.4,59,2780,5.64,5.73,3.49
"216",1.01,"Premium","F","I1",61.8,60,2781,6.39,6.36,3.94
"218",0.78,"Ideal","H","SI1",61.2,56,2781,5.92,5.99,3.64
"222",0.7,"Good","E","VS1",57.2,62,2782,5.81,5.77,3.31
"223",0.7,"Premium","E","VS1",62.9,60,2782,5.62,5.54,3.51
"225",0.72,"Ideal","D","SI1",60.8,57,2782,5.76,5.75,3.5
"229",0.75,"Premium","F","SI1",61.4,59,2782,5.88,5.85,3.6
"236",0.7,"Very Good","H","VVS1",60.5,60,2788,5.74,5.77,3.48
"238",0.76,"Ideal","I","VVS2",61.8,56,2788,5.85,5.87,3.62
"241",0.71,"Ideal","F","SI1",62.5,55,2788,5.71,5.65,3.55
"244",0.77,"Good","F","SI1",64.2,52,2789,5.81,5.77,3.72
"252",0.81,"Good","G","SI2",61,61,2789,5.94,5.99,3.64
"253",0.63,"Premium","E","VVS2",62.1,57,2789,5.48,5.41,3.38
"254",0.63,"Premium","E","VVS1",60.9,60,2789,5.55,5.52,3.37
"256",1.05,"Fair","J","SI2",65.8,59,2789,6.41,6.27,4.18
"263",0.73,"Ideal","E","SI1",62.2,56,2791,5.74,5.78,3.58
"274",0.76,"Ideal","I","VS2",61.3,56,2793,5.87,5.91,3.61
"275",0.73,"Ideal","H","VS2",62.7,55,2793,5.72,5.76,3.6
"279",0.81,"Ideal","F","SI2",62.6,55,2795,5.92,5.96,3.72
"282",0.72,"Premium","I","IF",63,57,2795,5.72,5.7,3.6
"285",1,"Premium","I","SI2",58.2,60,2795,6.61,6.55,3.83
"286",0.73,"Good","E","SI1",63.2,58,2796,5.7,5.76,3.62
"290",0.71,"Premium","D","SI1",61.3,58,2797,5.73,5.75,3.52
"297",0.7,"Fair","G","VVS1",58.8,66,2797,5.81,5.9,3.44
"305",0.6,"Very Good","G","IF",61.6,56,2800,5.43,5.46,3.35
"306",0.9,"Good","I","SI2",62.2,59,2800,6.07,6.11,3.79
"307",0.7,"Premium","E","VS1",62.2,58,2800,5.6,5.66,3.5
